,precision,recall,f1-score,support
0,0.96,0.97,0.97,1398.0
1,0.95,0.98,0.96,1554.0
2,0.92,0.89,0.9,1392.0
3,0.91,0.89,0.9,1465.0
4,0.93,0.94,0.93,1354.0
5,0.89,0.89,0.89,1308.0
6,0.95,0.96,0.95,1355.0
7,0.92,0.93,0.93,1458.0
8,0.88,0.87,0.88,1350.0
9,0.88,0.88,0.88,1366.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.92,0.92,0.92,14000.0
weighted avg,0.92,0.92,0.92,14000.0
