,precision,recall,f1-score,support
Hassam,0.25,0.34,0.29,99.0
Gauguin,0.3,0.4,0.34,99.0
VanGogh,0.4,0.39,0.4,99.0
Monet,0.31,0.25,0.28,99.0
Pissarro,0.44,0.4,0.42,99.0
Renoir,0.31,0.46,0.37,99.0
Degas,0.37,0.53,0.44,99.0
Cezanne,0.68,0.26,0.38,99.0
Matisse,0.51,0.37,0.43,99.0
Sargent,0.49,0.26,0.34,99.0
accuracy,0.37,0.37,0.37,0.37
macro avg,0.41,0.37,0.37,990.0
weighted avg,0.41,0.37,0.37,990.0
